S1,S2,S3,S4,S5,S6,S7,S8,Gesture_Class
-1.0,-1.0,-0.375,0.0,-5.625,-3.5,-0.75,-0.75,1
-1.125,4.0,-0.875,-1.125,-3.25,1.375,-0.625,0.75,1
2.5,-1.375,-0.875,-0.375,0.5,1.0,0.25,2.75,3
-1.375,-0.625,-0.125,0.625,-6.75,-9.375,-0.625,-4.125,1
-4.25,0.625,0.875,1.875,0.5,5.125,1.375,-2.125,0
-4.0,-1.75,-1.75,-0.75,-1.5,-0.75,-3.875,-5.375,0
-3.75,-4.875,-3.5,-0.625,-0.375,-1.75,-1.75,-1.125,2
-1.375,-1.125,-0.125,-0.5,-2.5,1.125,-2.125,-1.625,3
2.25,-2.375,-0.75,-1.125,4.625,0.875,-1.0,-0.125,1
-1.25,-1.625,-1.125,-2.5,-3.125,0.5,-13.875,-8.625,0
-4.875,-1.625,-0.875,-0.625,-0.625,-5.25,-1.125,1.5,1
0.25,1.0,-1.0,2.125,-3.25,1.0,-0.375,1.0,2
0.75,-0.625,-1.25,-0.375,-0.5,0.625,7.125,1.5,0
-5.0,3.625,-0.625,-0.375,-0.625,-5.625,-1.0,-3.375,2
-1.125,-2.5,-1.375,-1.375,-0.5,4.75,-5.75,-3.25,0
-1.375,-0.75,-0.875,-0.625,1.0,1.0,-0.625,0.125,1
-0.25,-2.375,-2.5,-2.125,0.5,1.5,-1.0,-2.25,3
1.75,2.875,-1.875,-1.375,3.375,-0.625,-0.75,0.75,2
1.0,-1.625,-1.625,0.0,-0.375,1.125,-1.25,-2.625,0
-12.5,-2.625,-2.25,-1.625,-3.75,-7.375,-2.0,-0.5,2
-4.75,0.625,0.375,-1.375,2.375,1.25,1.375,-3.625,0
0.875,-0.5,-1.375,-1.25,-9.0,-5.375,-1.375,3.75,1
-2.25,-1.625,-0.875,-1.875,-1.375,1.125,-3.625,-2.5,0
0.25,-0.125,-0.375,0.125,0.75,-3.625,-1.75,-0.625,1
0.0,2.125,-0.75,-0.375,-0.25,-0.875,3.125,-1.375,0
-1.875,-0.875,-0.375,-0.125,6.25,-1.25,-0.625,-0.625,1
-0.25,-0.625,-0.75,-1.125,0.75,-1.125,-1.25,-0.375,0
-1.5,-1.5,-0.375,-0.5,-1.375,-1.5,-0.625,-3.375,3
-1.625,0.0,-0.375,1.125,2.375,-1.875,-6.75,2.25,0
-2.375,-1.125,-0.75,-0.25,1.375,1.75,-0.625,-1.5,3
1.0,-0.375,-0.75,-0.625,-0.375,-7.875,-1.5,0.5,3
4.125,2.875,0.0,1.5,-1.375,-6.625,0.125,1.375,2
-4.125,-4.25,-0.5,1.125,2.5,6.75,-4.5,-2.25,0
-2.875,-3.0,-2.75,-2.0,-1.125,-6.75,-1.625,-2.125,2
-1.875,-3.5,-0.625,1.125,2.625,4.375,-1.5,0.625,2
-0.75,-1.875,-4.875,-1.375,4.875,-1.75,-34.875,-9.5,0
0.125,-1.25,-2.125,-1.875,-2.875,-1.625,0.0,1.625,3
-1.875,0.125,-3.5,-2.25,-0.75,0.125,-1.0,-5.125,2
-2.75,-0.875,-0.75,-1.75,-3.5,1.25,-0.875,-1.625,1
