Model Eğitim Logları
==================================================

Veri Yükleme Tamamlandı
Toplam Veri Sayısı: 4237907
Veri Temizleme Atlandı
Filtreleme Atlandı
Dengeleme Atlandı
Özellik Çıkarımı Atlandı
Eğitim, Doğrulama ve Test Setleri Ayrıldı
Veri Normalizasyonu Tamamlandı
Epoch 207/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 208/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 209/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 210/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 211/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 212/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 213/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 214/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 215/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 216/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 217/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 218/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 219/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 220/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 221/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 222/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 223/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 224/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 225/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 226/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 227/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 228/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 229/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 230/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 231/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
