MAV,RMS,WL,ZC,Gesture_Class
5.234375,7.977507442804425,423.0,26,2
8.984375,17.936955566650656,783.0,24,3
8.65625,14.641550464346322,663.0,25,3
23.1875,34.31745182847934,1712.0,21,0
18.03125,31.612892939432164,1359.0,25,0
5.375,8.19298480408697,455.0,35,1
21.625,38.022197464112985,1709.0,26,0
5.046875,8.055471742859012,379.0,29,1
9.234375,12.53058757600776,728.0,26,2
10.546875,21.096134124526227,901.0,27,0
9.734375,15.041089554949137,807.0,32,1
8.640625,15.210502128463741,705.0,32,1
10.109375,14.669803168413678,919.0,22,2
6.40625,9.98436277385793,605.0,33,1
11.25,15.016657417681207,909.0,29,2
5.671875,8.709728755822422,473.0,30,1
13.578125,18.065419314258943,1098.0,28,2
21.453125,32.163886969705636,1394.0,18,2
7.796875,12.146887461403436,599.0,19,3
7.171875,13.231709073283012,628.0,25,3
6.984375,12.789766416944447,595.0,25,2
6.15625,9.527919500079753,506.0,36,3
8.53125,14.097872179871684,736.0,28,1
6.578125,10.6909716583667,622.0,34,1
8.296875,11.675963557668378,748.0,25,2
11.515625,17.058264126223396,858.0,22,1
7.515625,11.313017943944047,605.0,26,3
11.421875,17.35970549865406,985.0,33,0
11.625,17.65378854523867,1043.0,29,2
9.796875,13.945765486340289,826.0,29,2
14.453125,23.500332444457037,1160.0,24,0
10.5,15.076886283314602,867.0,30,2
10.46875,14.869221566712898,846.0,29,0
7.96875,12.62685629917439,649.0,26,0
8.015625,12.658371735732839,713.0,33,1
11.5,20.20287727032959,1007.0,30,1
10.0625,13.571569548139964,720.0,20,2
13.890625,22.81207191379161,1024.0,20,0
7.40625,12.676257334087218,517.0,23,3
7.9375,14.358142289307485,644.0,29,1
9.703125,15.799030824705673,743.0,24,1
13.171875,18.33499045541066,1103.0,28,2
6.84375,11.817624549798492,567.0,37,1
24.390625,31.581986558796455,1895.0,26,0
9.421875,11.843378951971435,702.0,24,0
10.703125,14.973413939379355,830.0,21,2
9.328125,13.101168840985142,711.0,26,2
4.90625,7.8182478855559445,410.0,37,3
7.15625,11.149551560488879,601.0,25,1
6.203125,10.506694294591425,564.0,26,1
6.265625,10.408079794083056,632.0,39,0
9.84375,14.002231964940446,842.0,31,3
7.609375,11.88420695713433,586.0,22,3
5.53125,9.139543205215455,513.0,35,3
7.671875,10.99502728509575,659.0,30,2
9.8125,15.515113599326304,798.0,24,1
9.1875,12.758575547450429,746.0,24,2
13.28125,20.138582373146328,1104.0,27,0
6.71875,9.951444618747571,558.0,24,3
22.453125,30.886131596559643,1979.0,28,0
8.75,13.74886358940258,701.0,35,1
9.578125,14.524225452670445,733.0,22,3
6.28125,9.345787821259371,510.0,26,1
20.625,34.980351627735246,1518.0,22,0
5.296875,8.81316486853616,510.0,36,3
6.9375,11.231929932117632,534.0,33,1
7.171875,11.994139193789607,527.0,21,3
7.296875,11.344739970576672,528.0,24,3
13.140625,17.73899306612413,1061.0,22,2
6.40625,10.330476755697193,590.0,28,1
7.171875,11.94060823408925,569.0,23,1
7.296875,11.587304475157284,636.0,29,3
5.59375,8.470537173048708,391.0,24,2
15.53125,21.17265335285117,1126.0,23,2
9.203125,12.71871160927867,696.0,18,1
9.75,15.359239890046643,935.0,41,2
14.3125,24.292488550990406,1154.0,19,0
6.75,11.918997441060217,514.0,27,3
10.84375,14.67140075112121,849.0,26,2
16.25,25.391927851189244,1316.0,22,3
8.015625,13.715297116723356,697.0,26,3
8.171875,11.914408294162158,624.0,25,2
5.296875,8.222492018846841,477.0,35,1
9.390625,14.505925513389347,794.0,29,2
12.09375,16.049727412015447,1050.0,30,2
15.25,23.318447632722037,1144.0,31,3
11.09375,16.132265804901678,980.0,29,2
7.53125,12.016915161554566,601.0,26,1
7.328125,12.533081225301302,642.0,28,1
